"Exchange Microsoft.CapacityAccepted","AdvancedHunting-CloudAppEvents","8108","Exchange Accepted - Microsoft Capacity","Exchange Accepted - Microsoft Capacity"
"Set-RecipientEnforcementProvisioningPolicyTrue","AdvancedHunting-CloudAppEvents","19018","Set Recipient Enforcement Provisioning Policy True","Set recipient enforcement provisioning policy to true."
"DeployIfNotExists ServersFailed","AdvancedHunting-CloudAppEvents","19034","Deploy If Not Exists Servers Failed","Failed deployment of servers."
"Audit RestorePointCollectionsSucceeded","AdvancedHunting-CloudAppEvents","19001","Audit Restore Point Collections Succeeded","Audit completed successfully for restore point collection."
"TeamsTenantSettingChanged","AdvancedHunting-CloudAppEvents","19030","Teams Tenant Setting Changed","Settings for the team tenant have been updated."
"Install-DataClassificationConfigTrue","AdvancedHunting-CloudAppEvents","19030","Install Data Classification configuration  True","Data classification configuration installed successfully."
"msdyn_DeprecateODOSSuccess","AdvancedHunting-CloudAppEvents","19081","Microsoft Dynamics(Msdyn)Deprecate Object Data Operations Service (ODOS) success","Microsoft Dynamics(Msdyn)Deprecate Object Data Operations Service (ODOS) success"
"Write ReservationOrdersAccepted","AdvancedHunting-CloudAppEvents","19012","Write Reservation Orders Accepted","Create and update write reservation orders accepted"
"GetGatewayClusterDatasourceOAuthDetails","AdvancedHunting-CloudAppEvents","19014","Get Gateway Cluster Datasource Oauth Details","Returns a list of gateway data sources for the specified dataset"
"EditDataflowProperties","AdvancedHunting-CloudAppEvents","19017","Edit Dataflow Properties","Edit Dataflow Resource properties."
"Write ReservationOrdersStarted","AdvancedHunting-CloudAppEvents","19012","Write Reservation Orders Started","Creates or update reservation order started."
"Upsert msdyn_flow_approvalSuccess","AdvancedHunting-CloudAppEvents","19018","Upsert Microsoft Dynamics (msdyn) Flow Approval success","Upsert Microsoft Dynamics  (msdyn) Flow Approval Success"
"'pomal' malware in a registry key was detected and removed","AdvancedHunting-AlertInfo_MicrosoftDefenderforEndpoint","6016","'pomal' malware in a registry key was detected and removed","'pomal' malware in a registry key was detected and removed."
"Listsecrets ConnectionsSucceeded","AdvancedHunting-CloudAppEvents","19014","List Secrets Connections Succeeded","List all the secrets of a machine learning workspaces connections Succeeded."
"Listsecrets ConnectionsStarted","AdvancedHunting-CloudAppEvents","19014","List Secrets Connections Started","List all the secrets of a machine learning workspaces connections Started."
"Delete VaultsFailed","AdvancedHunting-CloudAppEvents","19022","Delete Vaults Failed","Fails to delete a vault."
"Set-OwaMailboxPolicyTrue","AdvancedHunting-CloudAppEvents","19018","Set Outlook Mail Box Policy ","Use the Set-OwaMailboxPolicy cmdlet to configure existing Outlook on the web mailbox policies."
"Set-AdminAuditLogConfigTrue","AdvancedHunting-CloudAppEvents","19018","Set-Admin Audit Log configuration True","Admin audit log configuration successfully set to true."
"Set-TenantObjectVersionTrue","AdvancedHunting-CloudAppEvents","19018","Set Tenant Object Version True","Set tenant object version to true."
"Install-DefaultSharingPolicyTrue","AdvancedHunting-CloudAppEvents","19018","Install Default Sharing Policy True","A default sharing policy was installed and set to true"
"Install-AdminAuditLogConfigTrue","AdvancedHunting-CloudAppEvents","8017","Install Admin Audit Log Configuration True","Administrator audit logging is enabled."
"enable-AddressListPagingTrue","AdvancedHunting-CloudAppEvents","19018","Enable Address List Paging True","Enables Address List Paging with true value."
"Delete VaultsAccepted","AdvancedHunting-CloudAppEvents","19021","Delete Vaults Accepted","Deletes a vault that has been accepted."
"Install-ResourceConfigTrue","AdvancedHunting-CloudAppEvents","8017","Install Resource Configuration True","Resource Configuration was installed and set to true."
"CreateArtifactFailed","AdvancedHunting-CloudAppEvents","19013","Create Artifact Failed","Artifact creation failed."
